K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
617	2	6182284	0.038	23.275	0.074	22.618	970	1085.00
618	2	6182903	0.052	4.8	0.053	4.196	619	704.00
619	2	6191969	0.108	23.883	0.08	23.219	9066	9000.33
620	2	6192736	0.04	2.78	0.07	2.007	767	665.00
621	2	6193743	0.047	10.328	0.073	9.529	1007	1034.33
622	2	6194736	0.066	14.38	0.071	13.625	993	963.33
623	2	6195331	0.045	26.255	0.065	25.508	595	677.67
624	2	6196626	0.056	3.463	0.084	2.771	1295	1281.00
625	2	6199704	0.065	1.492	0.074	0.783	3078	3093.33
626	2	6200290	0.031	15.013	0.071	14.187	586	597.67
627	2	6201209	0.038	9.342	0.065	8.613	919	837.33
628	2	6202079	0.038	7.328	0.076	6.588	870	1007.00
629	2	6207799	0.102	23.616	0.076	22.97	5720	5808.33
630	2	6208399	0.042	2.088	0.066	1.392	600	586.67
631	2	6209915	0.051	25.535	0.076	24.833	1516	1498.67
632	2	6210431	0.03	7.248	0.063	6.567	516	622.00
633	2	6211447	0.041	8.754	0.064	8.101	1016	1049.67
634	2	6235295	0.252	12.453	0.111	11.768	23848	23900.67
635	2	6236148	0.044	5.619	0.064	4.952	853	733.67
636	2	6236778	0.029	3.159	0.068	2.532	630	646.33
637	2	6240024	0.062	24.166	0.059	23.495	3246	3213.33
638	2	6240757	0.04	12.361	0.068	11.712	733	648.00
639	2	6243477	0.113	8.815	0.063	8.165	2720	2624.33
640	2	6244210	0.036	2.481	0.083	1.787	733	806.33
641	2	6245293	0.081	23.935	0.061	23.289	1083	1083.00
642	2	6246032	0.054	5.023	0.074	4.38	739	634.67
643	2	6247453	0.045	27.493	0.077	26.718	1421	1470.33
644	2	6248703	0.048	7.442	0.083	6.743	1250	1257.33
645	2	6249838	0.044	3.024	0.07	2.3	1135	1051.67
646	2	6250660	0.05	12.997	0.064	12.298	822	834.00
647	2	6251432	0.059	25.568	0.075	24.866	772	666.67
648	2	6252132	0.044	3.837	0.076	2.986	700	603.33
649	2	6271137	0.234	27.722	0.111	26.916	19005	18953.67
650	2	6271846	0.034	1.866	0.069	1.126	709	585.67
