K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
192	2	15116794	0.014	1.281	0.064	0.601	513	507.67
193	2	15117307	0.013	1.264	0.051	0.598	513	507.67
194	2	15117820	0.014	1.264	0.056	0.604	513	507.67
195	2	15118333	0.014	1.266	0.047	0.614	513	507.67
196	2	15118846	0.013	1.264	0.045	0.592	513	507.67
197	2	15119359	0.014	1.235	0.044	0.585	513	507.67
198	2	15119872	0.014	1.304	0.054	0.617	513	507.67
199	2	15120385	0.014	1.306	0.046	0.609	513	507.67
200	2	15120898	0.014	1.277	0.048	0.608	513	507.67
201	2	15121411	0.015	1.287	0.045	0.618	513	507.67
202	2	15121924	0.015	1.235	0.053	0.585	513	507.67
203	2	15122437	0.014	1.309	0.045	0.636	513	507.67
204	2	15122950	0.014	1.333	0.048	0.634	513	507.67
205	2	15123463	0.025	1.277	0.042	0.608	513	507.67
206	2	15123976	0.014	1.235	0.046	0.592	513	507.67
207	2	15124489	0.013	1.236	0.05	0.588	513	507.67
208	2	15125002	0.014	1.266	0.05	0.612	513	507.67
209	2	15125515	0.014	1.262	0.04	0.625	513	507.67
210	2	15126028	0.014	1.235	0.041	0.592	513	507.67
211	2	15126541	0.014	1.235	0.048	0.59	513	507.67
212	2	15127054	0.014	1.293	0.041	0.64	513	507.67
213	2	15127567	0.014	1.267	0.043	0.606	513	507.67
214	2	15128080	0.013	1.263	0.046	0.603	513	507.67
215	2	15128593	0.014	1.235	0.047	0.587	513	507.67
216	2	15129106	0.014	1.278	0.041	0.616	513	507.67
217	2	15129619	0.014	1.196	0.047	0.58	513	507.67
218	2	15130132	0.014	1.238	0.044	0.573	513	507.67
219	2	15130645	0.014	1.236	0.043	0.595	513	507.67
220	2	15131158	0.013	1.263	0.04	0.613	513	507.67
221	2	15131671	0.013	1.264	0.041	0.626	513	507.67
222	2	15132184	0.015	1.283	0.056	0.603	513	507.67
223	2	15132697	0.014	1.265	0.049	0.595	513	507.67
224	2	15133210	0.014	1.245	0.055	0.607	513	507.67
225	2	15133723	0.013	1.197	0.049	0.569	513	507.67
226	2	15134236	0.014	1.196	0.044	0.559	513	507.67
227	2	15134749	0.013	1.197	0.038	0.571	513	507.67
228	2	15135262	0.013	1.196	0.047	0.57	513	507.67
229	2	15135775	0.018	1.322	0.044	0.666	513	507.67
230	2	15136288	0.013	1.239	0.057	0.578	513	507.67
231	2	15136801	0.013	1.28	0.039	0.624	513	507.67
232	2	15137314	0.013	1.29	0.051	0.637	513	507.67
233	2	15137827	0.014	1.263	0.044	0.62	513	507.67
234	2	15138340	0.014	1.238	0.041	0.603	513	507.67
235	2	15138853	0.014	1.264	0.051	0.61	513	507.67
236	2	15139366	0.014	1.235	0.051	0.589	513	507.67
237	2	15139879	0.014	1.235	0.047	0.59	513	507.67
238	2	15140392	0.014	1.236	0.043	0.592	513	507.67
239	2	15140905	0.013	1.234	0.046	0.593	513	507.67
240	2	15141418	0.014	1.274	0.041	0.608	513	507.67
241	2	15141931	0.013	1.283	0.058	0.595	513	507.67
242	2	15142444	0.014	1.274	0.046	0.606	513	507.67
243	2	15142957	0.015	1.237	0.04	0.599	513	507.67
244	2	15143470	0.014	1.264	0.043	0.605	513	507.67
245	2	15143983	0.013	1.262	0.061	0.598	513	507.67
246	2	15144496	0.014	1.235	0.049	0.58	513	507.67
247	2	15145009	0.014	1.26	0.042	0.596	513	507.67
248	2	15145522	0.016	1.272	0.043	0.619	513	507.67
249	2	15146035	0.014	1.275	0.065	0.603	513	507.67
250	2	15146548	0.014	1.292	0.062	0.624	513	507.67
251	2	15147061	0.031	1.246	0.048	0.594	513	507.67
252	2	15147574	0.013	1.235	0.041	0.593	513	507.67
253	2	15148087	0.014	1.359	0.046	0.651	513	507.67
254	2	15148600	0.031	1.325	0.045	0.622	513	507.67
255	2	15149113	0.014	1.307	0.053	0.633	513	507.67
256	2	15149626	0.014	1.329	0.043	0.614	513	507.67
257	2	15150139	0.015	1.304	0.044	0.624	513	507.67
258	2	15150652	0.014	1.336	0.053	0.651	513	507.67
259	2	15151165	0.015	1.32	0.054	0.626	513	507.67
260	2	15151678	0.014	1.298	0.043	0.63	513	507.67
261	2	15152191	0.014	1.277	0.045	0.621	513	507.67
262	2	15152704	0.015	1.306	0.046	0.638	513	507.67
263	2	15153217	0.016	1.276	0.044	0.623	513	507.67
264	2	15153730	0.015	1.421	0.058	0.674	513	507.67
265	2	15154243	0.025	1.673	0.066	0.813	513	507.67
266	2	15154756	0.016	1.417	0.048	0.682	513	507.67
267	2	15155269	0.015	1.426	0.05	0.678	513	507.67
268	2	15155782	0.016	1.417	0.064	0.665	513	507.67
269	2	15156295	0.016	1.475	0.048	0.704	513	507.67
270	2	15156808	0.017	1.47	0.046	0.729	513	507.67
271	2	15157321	0.014	1.259	0.052	0.595	513	507.67
272	2	15157834	0.013	1.267	0.048	0.615	513	507.67
273	2	15158347	0.014	1.235	0.048	0.584	513	507.67
274	2	15158860	0.013	1.235	0.046	0.593	513	507.67
275	2	15159373	0.013	1.424	0.054	0.695	513	507.67
276	2	15159886	0.017	1.517	0.044	0.719	513	507.67
277	2	15160399	0.013	1.236	0.04	0.6	513	507.67
278	2	15160912	0.013	1.267	0.043	0.611	513	507.67
279	2	15161425	0.024	1.235	0.045	0.586	513	507.67
280	2	15161938	0.014	1.265	0.037	0.61	513	507.67
281	2	15162451	0.014	1.493	0.058	0.743	513	507.67
282	2	15162964	0.018	1.266	0.051	0.592	513	507.67
283	2	15163477	0.013	1.236	0.049	0.588	513	507.67
284	2	15163990	0.016	1.236	0.043	0.592	513	507.67
285	2	15164503	0.014	1.235	0.047	0.587	513	507.67
286	2	15165016	0.014	1.265	0.043	0.624	513	507.67
287	2	15165529	0.024	1.546	0.058	0.761	513	507.67
288	2	15166042	0.017	1.39	0.048	0.67	513	507.67
289	2	15166555	0.014	1.277	0.05	0.611	513	507.67
290	2	15167068	0.014	1.287	0.045	0.631	513	507.67
291	2	15167581	0.014	1.277	0.039	0.616	513	507.67
292	2	15168094	0.014	1.302	0.042	0.613	513	507.67
293	2	15168607	0.029	1.756	0.069	0.815	513	507.67
294	2	15169120	0.017	1.3	0.045	0.625	513	507.67
295	2	15169633	0.014	1.298	0.056	0.607	513	507.67
296	2	15170146	0.015	1.279	0.045	0.613	513	507.67
297	2	15170659	0.019	1.847	0.1	0.894	513	507.67
298	2	15171172	0.018	1.642	0.066	0.778	513	507.67
299	2	15171685	0.018	1.688	0.057	0.852	513	507.67
300	2	15172198	0.016	1.652	0.065	0.808	513	507.67
301	2	15172711	0.019	1.57	0.058	0.756	513	507.67
302	2	15173224	0.02	1.858	0.054	0.919	513	507.67
303	2	15173737	0.019	1.738	0.075	0.789	513	507.67
304	2	15174250	0.022	1.608	0.05	0.783	513	507.67
305	2	15174763	0.018	1.422	0.058	0.687	513	507.67
306	2	15175276	0.014	1.774	0.08	0.801	513	507.67
307	2	15175789	0.017	1.605	0.067	0.751	513	507.67
308	2	15176302	0.018	1.598	0.072	0.751	513	507.67
309	2	15176815	0.018	1.601	0.05	0.777	513	507.67
310	2	15177328	0.018	1.611	0.06	0.768	513	507.67
311	2	15177841	0.016	1.64	0.06	0.793	513	507.67
312	2	15178354	0.018	1.869	0.078	0.901	513	507.67
313	2	15178867	0.018	1.709	0.052	0.819	513	507.67
314	2	15179380	0.018	1.515	0.055	0.723	513	507.67
315	2	15179893	0.015	1.457	0.066	0.693	513	507.67
316	2	15180406	0.026	1.541	0.057	0.762	513	507.67
317	2	15180919	0.015	1.324	0.051	0.634	513	507.67
318	2	15181432	0.015	1.381	0.054	0.656	513	507.67
319	2	15181945	0.017	1.52	0.056	0.709	513	507.67
