K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
48	2	1977401	0.037	3.699	0.08	2.971	774	729.67
49	2	1977983	0.035	26.67	0.085	25.903	582	571.67
50	2	1978626	0.049	1.887	0.077	1.088	643	619.00
51	2	1979135	0.027	10.149	0.078	9.339	509	601.33
52	2	1979760	0.04	7.215	0.069	6.511	625	626.33
53	2	1980325	0.053	24.697	0.078	23.98	565	546.33
54	2	1981328	0.042	5.038	0.074	4.338	1003	775.67
55	2	1982062	0.028	5.904	0.072	5.209	734	687.00
56	2	1982647	0.051	6.93	0.065	6.248	585	673.00
57	2	1983314	0.029	8.844	0.075	8.153	667	604.00
58	2	1983925	0.052	12.473	0.07	11.796	611	660.33
59	2	1984602	0.05	23.99	0.055	23.309	677	676.00
60	2	1985153	0.051	1.607	0.053	0.952	551	624.67
61	2	1985701	0.027	24.434	0.071	23.746	548	678.00
62	2	1986538	0.035	13.117	0.066	12.39	837	651.33
63	2	1987164	0.05	9.122	0.08	8.433	626	698.33
64	2	1987671	0.026	7.056	0.064	6.35	507	625.67
65	2	1988244	0.049	5.886	0.064	5.164	573	523.00
66	2	1988789	0.032	5.449	0.076	4.733	545	515.00
67	2	1989465	0.039	27.205	0.079	26.413	676	626.67
68	2	1990245	0.034	7.863	0.083	7.103	780	797.33
69	2	1990832	0.032	8.84	0.072	8.152	587	616.67
70	2	1991360	0.037	3.638	0.063	2.951	528	608.33
71	2	1991983	0.027	23.787	0.07	23.106	623	537.00
72	2	1992480	0.026	3.11	0.062	2.445	497	532.33
73	2	1992946	0.025	24.064	0.066	23.369	466	553.67
74	2	1993553	0.036	13.138	0.065	12.449	607	614.67
75	2	1994147	0.027	1.539	0.062	0.872	594	575.00
76	2	1994827	0.029	7.634	0.071	6.9	680	667.67
77	2	1995351	0.031	24.718	0.074	24.012	524	572.67
78	2	1996068	0.036	4.804	0.059	4.174	717	671.33
79	2	1996994	0.029	24.426	0.061	23.729	926	721.33
80	2	1997600	0.029	2.468	0.073	1.771	606	579.67
81	2	1998349	0.029	9.101	0.081	8.356	749	671.00
82	2	1999008	0.032	13.996	0.078	13.198	659	698.00
83	2	1999615	0.035	27.006	0.089	26.212	607	617.33
84	2	2000226	0.047	4.195	0.118	3.276	611	611.00
85	2	2000974	0.038	7.46	0.101	6.594	748	624.00
86	2	2001877	0.039	15.033	0.09	14.234	903	740.00
87	2	2002437	0.03	10.363	0.087	9.545	560	587.33
88	2	2003168	0.046	8.268	0.082	7.463	731	556.33
89	2	2003895	0.033	27.229	0.088	26.433	727	664.33
90	2	2004577	0.044	2.293	0.069	1.536	682	641.67
91	2	2005451	0.031	28.825	0.091	27.992	874	688.00
92	2	2005950	0.041	8.538	0.084	7.666	499	527.00
93	2	2006636	0.032	10.828	0.085	9.966	686	683.67
94	2	2007302	0.066	15.366	0.073	14.503	666	601.00
95	2	2007838	0.045	6.901	0.074	6.091	536	581.33
96	2	2008759	0.035	3.773	0.077	2.963	921	725.33
97	2	2009542	0.038	29.137	0.074	28.286	783	615.67
98	2	2010207	0.037	15.95	0.072	15.083	665	648.67
99	2	2010705	0.027	10.633	0.075	9.814	498	578.67
100	2	2011280	0.033	1.745	0.074	0.962	575	544.67
101	2	2011947	0.034	30.655	0.077	29.73	667	837.33
102	2	2012451	0.031	6.342	0.086	5.507	504	649.00
103	2	2013022	0.031	29.503	0.105	28.6	571	640.33
104	2	2013798	0.033	8.596	0.085	7.749	776	607.33
105	2	2014577	0.034	3.357	0.088	2.543	779	689.33
106	2	2015122	0.035	15.493	0.087	14.676	545	553.33
107	2	2015791	0.038	22.877	0.061	22.213	669	604.00
108	2	2016613	0.037	2.842	0.07	2.225	822	633.67
109	2	2017192	0.025	23.256	0.066	22.576	579	649.33
110	2	2017865	0.028	3.573	0.065	2.91	673	624.33
111	2	2018418	0.028	8.659	0.061	7.994	553	645.67
112	2	2019032	0.035	6.469	0.064	5.829	614	632.67
113	2	2019596	0.024	21.798	0.053	21.214	564	612.00
114	2	2020339	0.037	4.533	0.065	3.931	743	626.67
115	2	2020883	0.025	5.336	0.058	4.708	544	599.33
116	2	2021555	0.049	6.312	0.055	5.697	672	631.67
117	2	2022242	0.051	8.183	0.066	7.57	687	603.67
118	2	2023027	0.041	14.41	0.085	13.635	785	699.67
119	2	2023768	0.039	27.963	0.079	27.153	741	726.67
120	2	2024398	0.032	1.88	0.073	1.07	630	659.00
121	2	2024922	0.031	27.834	0.077	27.03	524	564.67
122	2	2025510	0.032	14.615	0.079	13.834	588	682.00
123	2	2026106	0.032	10.189	0.07	9.432	596	543.00
124	2	2026847	0.042	7.911	0.082	7.133	741	611.33
125	2	2027512	0.037	1.844	0.081	0.988	665	603.67
126	2	2028054	0.035	6.401	0.085	5.543	542	622.33
127	2	2028616	0.031	28.238	0.076	27.43	562	653.00
128	2	2029228	0.032	8.252	0.087	7.44	612	621.33
129	2	2029907	0.031	10.532	0.073	9.729	679	765.00
130	2	2030486	0.035	4.467	0.074	3.579	579	655.00
131	2	2031072	0.044	30.103	0.084	29.214	586	630.00
132	2	2031660	0.033	3.812	0.085	3.032	588	566.67
133	2	2032298	0.033	28.181	0.077	27.408	638	612.33
134	2	2032973	0.032	15.003	0.079	14.2	675	719.67
135	2	2033583	0.034	3.535	0.089	2.689	610	658.33
136	2	2034299	0.034	8.611	0.076	7.78	716	693.67
137	2	2034839	0.035	29.378	0.084	28.516	540	561.33
138	2	2035493	0.034	6.08	0.084	5.253	654	629.67
139	2	2036099	0.034	28.868	0.067	28.032	606	580.67
140	2	2036730	0.033	2.791	0.071	2.003	631	612.33
141	2	2037365	0.034	10.075	0.082	9.287	635	732.67
142	2	2037899	0.037	14.138	0.092	13.369	534	558.33
143	2	2038555	0.04	25.18	0.07	24.456	656	634.67
144	2	2039187	0.038	3.21	0.065	2.533	632	633.67
145	2	2039775	0.027	5.904	0.083	5.212	588	709.33
146	2	2040331	0.027	12.83	0.074	12.072	556	582.00
147	2	2040958	0.051	9.037	0.06	8.351	627	550.33
148	2	2041553	0.028	7.066	0.074	6.392	595	577.33
149	2	2042189	0.055	27.291	0.085	26.473	636	653.33
150	2	2042799	0.041	1.641	0.054	0.887	610	560.67
151	2	2043438	0.034	26.476	0.088	25.713	639	682.00
152	2	2044167	0.04	8.265	0.103	7.438	729	624.00
153	2	2044770	0.029	9.675	0.06	8.874	603	587.67
154	2	2045383	0.042	14.945	0.072	14.156	613	641.33
155	2	2045881	0.032	6.948	0.073	6.179	498	540.00
156	2	2046566	0.043	3.252	0.074	2.545	685	663.00
157	2	2047110	0.028	26.233	0.079	25.484	544	598.33
158	2	2047917	0.039	15.061	0.093	14.283	807	618.00
159	2	2048496	0.027	9.129	0.069	8.453	579	614.00
160	2	2049047	0.028	2.63	0.076	1.883	551	586.00
161	2	2049643	0.05	26.402	0.077	25.721	596	632.67
162	2	2050418	0.042	5.307	0.069	4.601	775	767.67
163	2	2050973	0.028	27.471	0.089	26.721	555	672.00
164	2	2051586	0.066	7.775	0.072	6.973	613	622.00
165	2	2052278	0.033	3.57	0.116	2.687	692	647.67
166	2	2052986	0.035	15.082	0.078	14.311	708	626.00
167	2	2053639	0.041	27.035	0.075	26.233	653	621.33
168	2	2054154	0.038	3.442	0.073	2.717	515	537.00
169	2	2054919	0.034	26.527	0.077	25.759	765	698.33
170	2	2055628	0.091	3.66	0.07	2.952	709	629.00
171	2	2056362	0.028	11.017	0.079	10.157	734	678.00
172	2	2057044	0.041	7.3	0.076	6.605	682	715.67
173	2	2057717	0.029	27.707	0.077	26.901	673	657.00
174	2	2058440	0.031	5.392	0.066	4.654	723	647.33
175	2	2059207	0.031	2.611	0.073	1.768	767	675.33
176	2	2059799	0.03	7.73	0.071	6.945	592	548.33
177	2	2060484	0.065	9.641	0.062	8.911	685	688.67
178	2	2061263	0.03	13.612	0.082	12.85	779	744.00
179	2	2062189	0.041	27.973	0.089	27.21	926	763.00
180	2	2062786	0.045	1.963	0.093	1.078	597	590.33
181	2	2063534	0.039	26.809	0.078	26.028	748	675.00
182	2	2064227	0.031	13.487	0.062	12.747	693	614.33
183	2	2064897	0.042	9.379	0.077	8.688	670	724.67
184	2	2065427	0.026	8.04	0.098	7.239	530	654.33
185	2	2066178	0.043	6.525	0.071	5.762	751	635.67
186	2	2066779	0.028	5.153	0.073	4.463	601	596.00
187	2	2067358	0.045	25.271	0.058	24.489	579	631.67
188	2	2067944	0.039	6.912	0.069	6.236	586	609.33
189	2	2068500	0.027	9.103	0.065	8.418	556	716.33
190	2	2069078	0.039	3.634	0.068	2.952	578	618.00
191	2	2069699	0.029	24.232	0.073	23.569	621	641.33
192	2	2070429	0.04	3.136	0.06	2.468	730	662.67
193	2	2071230	0.03	24.092	0.067	23.413	801	738.67
194	2	2071770	0.038	13.151	0.074	12.406	540	564.00
195	2	2072342	0.027	2.782	0.073	2.082	572	566.67
196	2	2073285	0.031	7.06	0.074	6.338	943	797.67
197	2	2074240	0.041	26.783	0.072	26.028	955	715.33
198	2	2074857	0.043	5.477	0.069	4.731	617	637.33
199	2	2075492	0.029	24.807	0.065	24.09	635	685.00
200	2	2075989	0.038	1.516	0.065	0.841	497	502.67
201	2	2076785	0.031	9.195	0.071	8.508	796	708.33
202	2	2077394	0.039	13.09	0.067	12.351	609	770.00
203	2	2077921	0.037	25.234	0.067	24.522	527	573.67
204	2	2078552	0.039	3.24	0.059	2.553	631	668.00
205	2	2079282	0.03	6.113	0.064	5.379	730	641.00
206	2	2079854	0.058	13.097	0.058	12.418	572	619.67
207	2	2080526	0.041	9.072	0.071	8.392	672	573.00
208	2	2081107	0.027	7.116	0.066	6.425	581	572.33
209	2	2081781	0.04	28.173	0.082	27.388	674	575.33
210	2	2082547	0.039	2.02	0.063	1.312	766	646.67
211	2	2083154	0.028	28.559	0.071	27.679	607	649.00
212	2	2083894	0.037	7.291	0.074	6.526	740	599.67
213	2	2084428	0.028	11.522	0.08	10.631	534	576.00
214	2	2085066	0.039	14.232	0.077	13.444	638	594.67
215	2	2085659	0.032	5.837	0.07	5.157	593	753.33
216	2	2086280	0.027	3.742	0.063	2.904	621	554.00
217	2	2086852	0.031	29.425	0.084	28.531	572	582.33
218	2	2087487	0.042	14.522	0.061	13.763	635	618.67
219	2	2088166	0.043	10.487	0.08	9.732	679	647.67
220	2	2088933	0.049	2.759	0.103	1.971	767	665.00
221	2	2089639	0.052	28.278	0.083	27.494	706	698.00
222	2	2090136	0.065	5.772	0.089	5.005	497	601.00
223	2	2090900	0.031	28.05	0.081	27.221	764	730.67
224	2	2091581	0.065	7.774	0.07	7.054	681	630.67
225	2	2092143	0.029	1.649	0.074	0.942	562	587.00
226	2	2092696	0.028	15.291	0.081	14.476	553	612.33
227	2	2093327	0.047	28.66	0.083	27.847	631	669.00
