K	Dades	Ins Salts	Ins Temps	Cer Temps	Cer Temps T	Cer Temps !T	Salts REALS	Salts MITJANA
969	2	618775	0.025	8.495	0.064	7.851	583	687.67
970	2	619321	0.034	3.32	0.06	2.705	546	583.67
971	2	620132	0.027	23.095	0.059	22.493	811	683.33
972	2	620615	0.033	3.041	0.056	2.443	483	582.33
973	2	621208	0.024	24.095	0.062	23.444	593	679.33
974	2	621897	0.039	13.312	0.068	12.617	689	617.67
975	2	622522	0.039	1.559	0.063	0.911	625	597.33
976	2	623135	0.028	7.381	0.068	6.705	613	629.00
977	2	623747	0.028	25.378	0.059	24.731	612	599.33
978	2	624333	0.041	5.322	0.073	4.611	586	570.00
979	2	624888	0.027	25.374	0.074	24.672	555	619.67
980	2	625628	0.039	2.522	0.072	1.823	740	597.67
981	2	626364	0.028	9.276	0.067	8.677	736	656.00
982	2	627695	0.04	13.412	0.062	12.718	1331	809.67
983	2	628286	0.037	25.745	0.069	25.067	591	579.33
984	2	628872	0.038	3.255	0.067	2.579	586	609.33
985	2	629500	0.028	6.068	0.069	5.41	628	638.00
986	2	630282	0.029	15.388	0.078	14.593	782	776.00
987	2	631002	0.036	9.965	0.074	9.247	720	612.33
988	2	631546	0.039	7.349	0.097	6.625	544	646.00
989	2	632145	0.04	24.2	0.062	23.552	599	574.00
990	2	632883	0.036	1.935	0.066	1.271	738	602.67
991	2	633419	0.024	23.119	0.065	22.497	536	534.00
992	2	633948	0.024	6.696	0.056	6.085	529	910.00
993	2	634540	0.025	8.488	0.062	7.868	592	665.67
994	2	635067	0.035	13.303	0.079	12.613	527	647.00
995	2	635785	0.039	6.072	0.072	5.409	718	677.00
996	2	636327	0.027	3.423	0.064	2.703	542	536.33
997	2	636837	0.027	25.372	0.074	24.652	510	710.00
998	2	637363	0.039	13.704	0.067	12.983	526	564.00
999	2	638098	0.044	10.826	0.074	10.053	735	604.67
1000	2	638355	0.025	1.509	0.066	0.741	257	259.67
1001	2	638943	0.031	30.405	0.098	29.574	588	632.67
1002	2	639467	0.042	6.382	0.101	5.573	524	576.33
1003	2	640058	0.032	30.95	0.079	30.115	591	672.33
1004	2	640799	0.049	9.72	0.105	8.578	741	658.00
1005	2	641561	0.038	3.94	0.086	2.915	762	691.67
1006	2	642084	0.039	15.917	0.099	14.899	523	645.00
1007	2	642990	0.064	28.48	0.109	27.514	906	807.33
1008	2	643548	0.029	3.568	0.078	2.846	558	619.67
1009	2	644480	0.038	28.162	0.072	27.315	932	734.33
1010	2	645117	0.03	3.71	0.062	3.043	637	597.67
1011	2	645764	0.028	10.672	0.073	9.805	647	694.67
1012	2	646263	0.029	8.362	0.059	7.576	499	607.00
1013	2	646873	0.033	28.141	0.074	27.363	610	559.67
1014	2	647394	0.039	6.038	0.072	5.309	521	682.33
1015	2	648084	0.029	6.691	0.074	5.933	690	720.33
1016	2	648594	0.029	7.88	0.068	7.121	510	744.33
1017	2	649127	0.045	9.991	0.066	9.247	533	563.00
1018	2	649885	0.043	15.241	0.071	14.465	758	695.67
1019	2	650684	0.032	27.862	0.075	27.055	799	605.33
1020	2	651318	0.045	1.995	0.083	1.235	634	584.00
1021	2	651830	0.034	29.076	0.086	28.217	512	635.67
1022	2	652504	0.043	16.331	0.079	15.496	674	653.33
1023	2	653127	0.039	9.8	0.072	9.061	623	679.33
1024	2	653752	0.029	8.277	0.09	7.529	625	664.33
